week,week_start,cases,sse_delay_pmo,ssi_delay_pmo,ensemble_pmo,post_sse,post_ssi,sse_n_distinct,ssi_n_distinct
0,27/03,1,0.1773,0.17788,0.17759000000000003,0.5,0.5,50000,50000
1,03/04,0,0.11552,0.0541,0.08632517991242876,0.5246691617132653,0.4753308382867347,29585,27896
2,10/04,0,0.03506,0.0138,0.02461058625630369,0.5084941795062883,0.4915058204937117,29027,29906
3,17/04,1,0.22298,0.2055,0.214400307768512,0.5091709249720804,0.4908290750279196,1849,1844
4,24/04,3,0.59114,0.7718,0.6942949722434716,0.42901044922245346,0.5709895507775465,1056,1458
5,01/05,2,0.61556,0.63998,0.6289063804622865,0.4534651735345403,0.5465348264654597,7162,6490
6,08/05,1,0.4697,0.42822,0.44843075567121327,0.487240975680166,0.512759024319834,10132,8884
