r,sse_delay_sim,ssi_delay_sim
0,0.1818,0.1791
1,0.11683768656716417,0.05181946766105182
2,0.03639195695270462,0.015073906044197278
3,0.009068923821039904,0.006056018168054504
4,0.0027747803298905503,0.0010884776862074327
5,0.0004677268475210477,0.00031152647975077883
