r,pmo_sse,pmo_ssi,sse_sim,ssi_sim
0,0.17872669850579004,0.17872669850579004,0.17684,0.1778
1,0.12089575255348128,0.04190755452482442,0.1201,0.04621960993855197
2,0.06497983357459935,0.013995315239022088,0.0653,0.013370970138166691
3,0.02939004764830977,0.005106739237397351,0.02924,0.004586454670539673
4,0.011930020343709491,0.0018937698629974964,0.01166,0.0025930445393532644
5,0.00451104442326844,0.0006907367018589294,0.00514,0.0015401201293700909
