history,sse_analytic,ssi_analytic,ssi_mcmc,uncertain_analytic,uncertain_mcmc,sse_sim,ssi_sim,uncertain_sim,posterior_sse
"[1, 0]",0.12089575255348128,0.04190755452482442,0.03900836093221982,0.08393940753311176,0.08485544885903551,0.1236,0.04637526652452026,0.0849787553111722,0.5321282679855313
"[1, 1]",0.2780151523420147,0.3796982791932627,0.38401357849194373,0.3479238514127454,0.3553975675693411,0.2706,0.374077578051088,0.348680618744313,0.3124847628554937
"[1, 2]",0.4070531205351322,0.5983955132377995,0.5974399895383178,0.5369431729321776,0.5322092051007988,0.4099,0.6041789867928248,0.5360181508791833,0.32116427226408945
"[2, 0]",0.22717572212148995,0.08205886592339773,0.08019082168634939,0.16390365802199974,0.16283245523989437,0.226,0.08136482939632546,0.16676980198019803,0.5639923179349993
"[2, 1]",0.3653000538318373,0.4056936073798134,0.3961164994181856,0.3919284527185444,0.3979588301344863,0.3634,0.39748173480491217,0.3938996392259757,0.3407760261775412
"[2, 2]",0.47873787975227566,0.6152257751642005,0.6134388944574058,0.5700823449129881,0.5729018688816678,0.4749,0.628003784295175,0.5630787037037037,0.33075043112774305
"[1, 0, 0]",0.06497983357459935,0.013995315239022088,0.014368124394907422,0.040577996696691584,0.0396708263754105,0.0684,0.015548645046645935,0.041846840563537456,0.5213873215924835
"[1, 0, 1]",0.23209290095614554,0.25120832466829535,0.24616492408701784,0.24302635479856405,0.24641729912874724,0.2437,0.25408418220257545,0.24360421369450716,0.42802974147681727
"[1, 0, 2]",0.3693384015274124,0.43135262771902527,0.4319348981786453,0.3944505166090805,0.39367608534129805,0.367,0.42675664946407305,0.39976345357776466,0.5950588014421702
"[1, 1, 0]",0.17801980024727948,0.12646417938491283,0.12208004637790215,0.15016873548145324,0.1496837556118119,0.1782,0.12637795275590552,0.15347113884555383,0.4597860660008789
"[1, 1, 1]",0.32492960758621303,0.3585729934016274,0.35640653528260313,0.35429953839469286,0.3581725086427737,0.3175,0.3742555235350624,0.35894922564203097,0.12702214427468766
"[1, 1, 2]",0.4455827100813373,0.5360572547244782,0.531990048552385,0.5255693330431729,0.5228223671991605,0.4503,0.5295527156549521,0.5193522906793049,0.11592124307088557
"[1, 2, 0]",0.2773937150804455,0.22610425519159483,0.2322391949702487,0.2586205294370482,0.2572305613216835,0.2798,0.22742474916387959,0.2614198141190429,0.6339757586825704
"[1, 2, 1]",0.40654275070365165,0.4329603779738621,0.4302873502447324,0.42784874579002474,0.4341116973162784,0.4106,0.4450148075024679,0.43162307845877423,0.19349323584413802
"[1, 2, 2]",0.5126094055747157,0.5888726624155105,0.582571725979482,0.5787860583183295,0.5869210720139137,0.5073,0.5926444133519888,0.5778753993610224,0.13226033761235076
