r,R0_med_sse,R0_lo_sse,R0_hi_sse,R0_med_ssi,R0_lo_ssi,R0_hi_ssi,pmo_sse_mcmc,pmo_ssi_mcmc,pmo_sse_sim,pmo_ssi_sim
0,1.956075340385872,1.14504928351639,3.0605831818281595,1.951878127439691,1.1507079080497802,3.0699466706226444,0.1681656027590675,0.1755674989987993,0.1606,0.1694
1,1.9570508551063668,1.1620341083661898,3.1096272301254695,1.952960794205708,1.1223686849190044,3.0470911123769517,0.11423453139663785,0.038058183378397614,0.1194,0.03966986155484558
2,1.9380648830278646,1.1211856604604118,3.0378496280799343,1.927512827313242,1.142959282017606,3.1315736481793284,0.06092727708044107,0.014409614210042165,0.0576,0.015483494011101374
3,1.9264153327138445,1.1070434201263821,3.059641323863785,1.9277742427403024,1.1095891273855771,3.0788558142366758,0.027405450280031184,0.004488241505532842,0.027,0.004533776635937736
4,1.9383847073296447,1.1561418596575594,3.0286522255116965,1.9132761615165206,1.1117393376515525,2.9897161907157916,0.011202247907771178,0.0017510816630912363,0.0122,0.0015603058199407083
5,1.9275347869318291,1.091504339112678,3.041614848020749,1.9588094457020837,1.149302013995664,3.110927358280475,0.0041983200114170515,0.0006586947709952273,0.0026,0.0009358914365933552
