k,pmo_sse,pmo_ssi,sse_sim,ssi_sim,F_r
0.05,0.03870554699216133,0.0049062654717216825,0.0382,0.005370201096892139,0.3455956077882387
0.051349115731767564,0.03968720369158585,0.005149362647081768,,,0.3455956077882387
0.05273463372868917,0.04069212606792405,0.005403872934122256,,,0.3455956077882387
0.05415753620813668,0.0417207819126757,0.005670285517604512,,,0.3455956077882387
0.055618831889980035,0.04277364412790263,0.005949107179932023,,,0.3455956077882387
0.05711955671168619,0.04385119054494879,0.006240862693215887,,,0.3455956077882387
0.058660774562712716,0.04495390372631891,0.006546095201853008,,,0.3455956077882387
0.060243578038717216,0.04608227075211613,0.006865366594133948,,,0.3455956077882387
0.06186908921611724,0.04723678298846523,0.007199257860779462,,,0.3455956077882387
0.06353846044754911,0.04841793583845544,0.007548369438600155,,,0.3455956077882387
0.06525287517879072,0.04962622847461118,0.007913321537172724,0.0502,0.0082382017182535,0.3455956077882387
0.06701354878772613,0.05086216355231721,0.008294754446370733,,,0.3455956077882387
0.06882172944594803,0.052126246903597795,0.008693328822477975,,,0.3455956077882387
0.07067869900360764,0.053418987210642754,0.009109725950506298,,,0.3455956077882387
0.07258577389814025,0.05474089565848961,0.009544647980233134,,,0.3455956077882387
0.07454430608751035,0.05609248556628088,0.009998818133374998,,,0.3455956077882387
0.07655568400863749,0.05747427199653621,0.010472980879210558,,,0.3455956077882387
0.07862133356168306,0.058886771341891686,0.010967902075874059,,,0.3455956077882387
0.08074271912089531,0.06033050088873759,0.011484369074436396,,,0.3455956077882387
0.08292134457272907,0.061805978357604596,0.012023190782877502,,,0.3455956077882387
0.08515875438197684,0.0633137214187901,0.01258519768672961,0.0631,0.012335227959850042,0.3455956077882387
0.08745653468666591,0.06485424718452992,0.013171241823583424,,,0.3455956077882387
0.08981631442249906,0.06642807167543341,0.013782196707953331,,,0.3455956077882387
0.09223976647763459,0.06803570926282754,0.014418957203630622,,,0.3455956077882387
0.09472860887862543,0.0696776720837744,0.01508243933971365,,,0.3455956077882387
0.09728460600835764,0.07135446943230284,0.0157735800677119,,,0.3455956077882387
0.09990956985685136,0.07306660712357349,0.016493336955833215,,,0.3455956077882387
0.1026053613058115,0.07481458683219688,0.01724268781737559,,,0.3455956077882387
0.10537389144783879,0.07659890540437908,0.018022630269860174,,,0.3455956077882387
