week,week_start,cases,sse_delay_pmo,ssi_delay_pmo,ensemble_pmo,post_sse,post_ssi,sse_n_distinct,ssi_n_distinct
0,02/04,2,0.32412,0.32572,0.32492,0.5,0.5,200000,200000
1,09/04,4,0.725955,0.87706,0.8176275062753426,0.3933191735856344,0.6066808264143656,4074,6284
2,16/04,4,0.80406,0.836735,0.8258698704194937,0.3325211807347005,0.6674788192652995,16053,20890
3,23/04,4,0.82247,0.817655,0.8188995315844334,0.2584696956247999,0.7415303043752002,17442,24917
4,30/04,13,0.983195,0.99379,0.9903969970264583,0.32024567942818916,0.6797543205718108,3994,2955
5,07/05,8,0.981585,0.980735,0.981132898714755,0.46811613500569316,0.5318838649943068,11715,6271
6,14/05,15,0.99604,0.997075,0.9966918537545925,0.37018960908940785,0.6298103909105921,7538,11287
7,21/05,2,0.95403,0.87241,0.9435175518497166,0.871202546553744,0.12879745344625604,725,63
8,28/05,2,0.77694,0.659135,0.7528864833613031,0.7958192212665275,0.2041807787334725,5258,9125
