R0,pmo_sse,pmo_ssi,sse_sim,ssi_sim,F_r
0.5,0.0,0.0,0.0,0.0,0.3455956077882387
0.5175879396984925,0.0,0.0,,,0.3455956077882387
0.535175879396985,0.0,0.0,,,0.3455956077882387
0.5527638190954773,0.0,0.0,,,0.3455956077882387
0.5703517587939698,0.0,0.0,,,0.3455956077882387
0.5879396984924623,0.0,0.0,,,0.3455956077882387
0.6055276381909548,0.0,0.0,,,0.3455956077882387
0.6231155778894473,0.0,0.0,,,0.3455956077882387
0.6407035175879396,0.0,0.0,,,0.3455956077882387
0.6582914572864321,0.0,0.0,,,0.3455956077882387
0.6758793969849246,0.0,0.0,0.0,0.0,0.3455956077882387
0.6934673366834171,0.0,0.0,,,0.3455956077882387
0.7110552763819096,0.0,0.0,,,0.3455956077882387
0.728643216080402,0.0,0.0,,,0.3455956077882387
0.7462311557788945,0.0,0.0,,,0.3455956077882387
0.7638190954773869,0.0,0.0,,,0.3455956077882387
0.7814070351758794,0.0,0.0,,,0.3455956077882387
0.7989949748743719,0.0,0.0,,,0.3455956077882387
0.8165829145728642,0.0,0.0,,,0.3455956077882387
0.8341708542713568,0.0,0.0,,,0.3455956077882387
0.8517587939698492,0.0,0.0,0.0,0.0,0.3455956077882387
0.8693467336683417,0.0,0.0,,,0.3455956077882387
0.8869346733668342,0.0,0.0,,,0.3455956077882387
0.9045226130653266,0.0,0.0,,,0.3455956077882387
0.9221105527638191,0.0,0.0,,,0.3455956077882387
0.9396984924623115,0.0,0.0,,,0.3455956077882387
0.957286432160804,0.0,0.0,,,0.3455956077882387
0.9748743718592965,0.0,0.0,,,0.3455956077882387
0.992462311557789,0.0,0.0,,,0.3455956077882387
1.0100502512562815,0.001992210514440096,0.0006827118241838903,,,0.3455956077882387
1.0276381909547738,0.005411282274450091,0.0018563983306478793,,,0.3455956077882387
1.0452261306532664,0.00874784662789696,0.003004084849588806,0.009701940388077616,0.0028004383294776575,0.3455956077882387
1.0628140703517588,0.01200537425554593,0.004126669039528963,,,0.3455956077882387
1.0804020100502512,0.015187131590962188,0.005225007439195517,,,0.3455956077882387
1.0979899497487438,0.0182961960967698,0.006299917777001562,,,0.3455956077882387
1.1155778894472361,0.02133547016532933,0.007352181129053226,,,0.3455956077882387
1.1331658291457285,0.02430769378818287,0.008382543937001996,,,0.3455956077882387
1.150753768844221,0.02721545612070797,0.009391719895878836,,,0.3455956077882387
1.1683417085427137,0.03006120605440954,0.010380391721499627,,,0.3455956077882387
1.185929648241206,0.03284726189543774,0.011349212805958686,,,0.3455956077882387
1.2035175879396984,0.03557582023802541,0.012298808769486524,,,0.3455956077882387
1.221105527638191,0.03824896411010481,0.013229778915778034,0.038,0.015445939212755356,0.3455956077882387
1.2386934673366834,0.04086867046113962,0.01414269759777842,,,0.3455956077882387
1.2562814070351758,0.04343681705380398,0.015038115500092042,,,0.3455956077882387
1.2738693467336684,0.045955188814797876,0.015916560843797778,,,0.3455956077882387
1.291457286432161,0.048425483694710225,0.016778540519147955,,,0.3455956077882387
1.309045226130653,0.050849318080579575,0.017624541150868422,,,0.3455956077882387
1.3266331658291457,0.05322823180142122,0.018455030100774428,,,0.3455956077882387
1.3442211055276383,0.05556369276226891,0.019270456411855652,,,0.3455956077882387
1.3618090452261307,0.05785710123895638,0.020071251697746262,,,0.3455956077882387
1.379396984924623,0.06010979386258297,0.020857830981170777,,,0.3455956077882387
1.3969849246231156,0.062323047319929215,0.021630593484740945,,,0.3455956077882387
1.414572864321608,0.06449808179337357,0.02238992337716672,0.0649,0.01868572861800853,0.3455956077882387
1.4321608040201004,0.06663606416180856,0.02313619047778237,,,0.3455956077882387
1.449748743718593,0.06873811098201421,0.023869750922072552,,,0.3455956077882387
1.4673366834170856,0.07080529126784696,0.024590947790592788,,,0.3455956077882387
1.484924623115578,0.0728386290833789,0.02530011170362878,,,0.3455956077882387
1.5025125628140703,0.07483910596576726,0.02599756138411724,,,0.3455956077882387
1.520100502512563,0.07680766318691812,0.026683604189502774,,,0.3455956077882387
1.5376884422110553,0.07874520387286876,0.02735853661652432,,,0.3455956077882387
1.5552763819095476,0.08065259498549238,0.028022644778640582,,,0.3455956077882387
1.5728643216080402,0.08253066918004726,0.028676204858777643,,,0.3455956077882387
1.5904522613065326,0.08438022654702226,0.02931948353865388,0.0801,0.029802606115339955,0.3455956077882387
1.6080402010050252,0.08620203624605116,0.029952738405868984,,,0.3455956077882387
1.6256281407035176,0.0879968380424544,0.03057621834092794,,,0.3455956077882387
1.64321608040201,0.08976534374648593,0.031190163883253574,,,0.3455956077882387
1.6608040201005025,0.09150823857279922,0.03179480758070352,,,0.3455956077882387
1.678391959798995,0.09322618241541347,0.03239037432035585,,,0.3455956077882387
1.6959798994974875,0.09491981105007119,0.03297708164351665,,,0.3455956077882387
1.7135678391959799,0.09658973726695641,0.033555140045226084,,,0.3455956077882387
1.7311557788944723,0.09823655193876324,0.03412475325922537,,,0.3455956077882387
