history,sse_delay_sim,ssi_delay_sim
"[1, 0]",0.12459245458779693,0.051839464882943144
"[1, 1]",0.3350263355906697,0.43355325164938735
"[1, 2]",0.4838646587130843,0.6488230827638573
"[2, 0]",0.2219508886175553,0.10177435554067626
"[2, 1]",0.39349217638691325,0.45168747110494684
"[2, 2]",0.5315121951219512,0.6725358190920075
"[1, 0, 0]",0.035942605483733486,0.01282429245283019
"[1, 0, 1]",0.24133504492939667,0.2482104855871542
"[1, 0, 2]",0.4306846197610468,0.429109656950228
"[1, 1, 0]",0.16930906243883342,0.13330786860198626
"[1, 1, 1]",0.34155412018007436,0.380779518532671
"[1, 1, 2]",0.4813121272365805,0.5417974882260597
"[1, 2, 0]",0.2694218160143056,0.2315202231520223
"[1, 2, 1]",0.4164350932909885,0.4387593836428289
"[1, 2, 2]",0.5640413683373111,0.5830702446724546
