week,week_start,cases,pf_sse_pmo,pf_ssi_pmo,pf_ensemble_pmo,pf_post_sse,pf_post_ssi,mcmc_sse_pmo,mcmc_ssi_pmo,mcmc_ensemble_pmo,mcmc_post_sse,mcmc_post_ssi
0,02/04,2,0.32596,0.32571,0.325835,0.5,0.5,0.32551016425280055,0.32551016425280055,0.32551016425280055,0.5,0.5
1,09/04,4,0.64477,0.83677,0.7685174527562484,0.35548201689453973,0.6445179831054603,0.6484139981328755,0.8387138362124695,0.7709387274238126,0.35614906177854716,0.6438509382214528
2,16/04,4,0.762375,0.834225,0.8213884653981911,0.17865740573150776,0.8213425942684922,0.762450408465768,0.8342440751154285,0.8214526762654232,0.17816890328815438,0.8218310967118456
3,23/04,4,0.803475,0.816125,0.8149680811347659,0.09145603677740292,0.9085439632225971,0.8043473548198758,0.8188792895259149,0.8175427045558123,0.09197570709887795,0.9080242929011221
4,30/04,13,0.970135,0.9938,0.9913134863908684,0.10507135470659984,0.8949286452934002,0.9694127836193592,0.9945710608219903,0.9919065454313385,0.10591008951810092,0.8940899104818991
5,07/05,8,0.97568,0.980485,0.979836582596607,0.13494638988409538,0.8650536101159046,0.9751621992816213,0.9802574897133747,0.979572754076804,0.13438598755891623,0.8656140124410838
6,14/05,15,0.993605,0.9973,0.9970136363838961,0.07750030205789746,0.9224996979421025,0.993567568825842,0.9970584655028445,0.9967854774905693,0.07819996910064218,0.9218000308993578
7,21/05,2,0.965265,0.903,0.9541378397468344,0.8212934995074982,0.1787065004925018,0.9640487801296255,0.8796270536354804,0.9514961088185409,0.8513099431583502,0.14869005684164982
8,28/05,2,0.875625,0.72376,0.848849891627547,0.823691381342291,0.17630861865770897,0.8752198296842544,0.6849405661432997,0.8374403288514283,0.8014523488803883,0.1985476511196117
