week,week_start,cases,sse_pmo,ssi_pmo,ensemble_pmo,post_sse,post_ssi,sse_n_distinct,ssi_n_distinct
0,02/04,2,0.553055,0.6631,0.622588416596105,0.36813652054972973,0.6318634794502702,5652,9701
1,09/04,4,0.755215,0.89936,0.8483329962873224,0.3539977363951415,0.6460022636048586,15045,15996
2,16/04,4,0.793585,0.88347,0.8525257959643311,0.34426438266305764,0.6557356173369424,21157,22082
3,23/04,4,0.81003,0.842165,0.8314694497629795,0.33283181070547785,0.6671681892945222,20960,22055
4,30/04,13,0.991035,0.994225,0.9932012516585494,0.32092424496881655,0.6790757550311834,3794,4005
5,07/05,8,0.976845,0.985235,0.9826752757100821,0.30509228723694015,0.6949077127630598,7132,7677
6,14/05,15,0.997165,0.997355,0.9973059062589299,0.2583881108953556,0.7416118891046444,9323,11748
7,21/05,2,0.912785,0.9174,0.9154455430985964,0.42350095371691593,0.5764990462830841,175,83
8,28/05,2,0.772855,0.800405,0.7789100092040817,0.7802174517574683,0.21978254824253174,13555,2805
