r,R0_med_sse,R0_lo_sse,R0_hi_sse,R0_med_ssi,R0_lo_ssi,R0_hi_ssi,pmo_sse_mcmc,pmo_ssi_mcmc,pmo_sse_sim,pmo_ssi_sim
0,1.95109425063895,1.1108875898809778,3.1296936936690294,1.9339414524841678,1.1370323716877806,3.0491837085798426,0.16763683930000356,0.1534314652759421,0.1588,0.1664
1,1.929244679329152,1.1262980815130064,3.050568309828458,1.9269602140007087,1.0793541690622825,3.095929950762228,0.11127797740964002,0.039586352244222134,0.1236,0.038119272147695574
2,1.92734879289605,1.124159629710385,3.0618295025924422,1.9329608319685336,1.1260176279085121,3.047501154219309,0.06057600622779522,0.014041862219740575,0.052,0.013511571079488286
3,1.9629738570589463,1.158556160387682,3.1477738780368014,1.9264607310107724,1.097280699314581,3.0705204129431896,0.028107377374477813,0.005371360849829476,0.0298,0.004841882281737026
4,1.9396281631107213,1.1300437709778421,3.038534076855629,1.929819796777239,1.144542192535259,3.0450054909351425,0.011238567551624843,0.0016472757441612362,0.0104,0.0016878932023937393
5,1.939892775452852,1.1125398522583303,3.039541335914252,1.9306182145229271,1.1691742126342641,3.0401840815693375,0.004220457505825538,0.0005931044424399845,0.0042,0.0
